(278292.6, -74.0, -0.38)
(278316.6, -74.01, -0.38)
(278340.6, -74.01, -0.38)
(278364.6, -74.01, -0.38)
(278388.6, -74.0, -0.38)
(278412.6, -74.0, -0.38)
(278436.6, -74.0, -0.38)
(278460.6, -74.01, -0.38)
(278484.6, -74.01, -0.38)
(278508.6, -74.0, -0.38)
(278532.6, -74.0, -0.38)
(278556.6, -74.0, -0.38)
(278580.5, -74.01, -0.38)
(278604.6, -74.0, -0.37)
(278628.6, -74.0, -0.37)
(278652.6, -74.0, -0.38)
(278676.6, -74.0, -0.38)
(278700.5, -74.01, -0.37)
(278724.5, -74.0, -0.37)
(278748.5, -74.0, -0.37)
(278772.5, -74.0, -0.37)
(278796.6, -74.01, -0.37)
(278820.5, -74.01, -0.37)
(278844.5, -74.01, -0.37)
(278868.5, -74.01, -0.37)
(278892.5, -74.01, -0.37)
(278916.5, -74.0, -0.37)
(278940.5, -74.01, -0.37)
(278964.5, -74.01, -0.38)
(278980.5, -74.01, -0.38)
(279004.6, -74.01, -0.38)
(279028.5, -74.01, -0.38)
(279052.5, -74.01, -0.38)
(279076.5, -74.01, -0.38)
(279100.5, -74.01, -0.38)
(279124.5, -74.01, -0.38)
(279148.5, -74.01, -0.38)
(279172.5, -74.01, -0.38)
(279196.6, -74.01, -0.38)
(279220.5, -74.01, -0.38)
(279244.5, -74.01, -0.38)
(279268.5, -74.01, -0.38)
(279284.6, -74.01, -0.38)
(279308.5, -74.01, -0.38)
(279332.5, -74.01, -0.38)
(279356.5, -74.01, -0.38)
(279380.5, -74.01, -0.38)
(279404.5, -74.01, -0.38)
(279428.5, -74.01, -0.38)
(279452.5, -74.01, -0.38)
(279476.6, -74.01, -0.38)
(279500.5, -74.01, -0.38)
(279524.5, -74.01, -0.38)
(279548.5, -74.01, -0.38)
(279572.5, -74.01, -0.38)
(279596.5, -74.01, -0.38)
(279620.5, -74.01, -0.38)
(279644.5, -74.01, -0.38)
(279668.6, -74.01, -0.38)
(279684.5, -74.01, -0.38)
(279708.5, -74.01, -0.38)
(279732.5, -74.01, -0.38)
(279756.5, -74.01, -0.38)
(279780.5, -74.01, -0.38)
(279804.5, -74.01, -0.38)
(279828.5, -74.01, -0.38)
(279852.5, -74.01, -0.38)
(279876.5, -74.01, -0.38)
(279900.5, -74.02, -0.39)
(279924.5, -74.01, -0.38)
(279948.5, -74.01, -0.38)
(279972.5, -74.01, -0.38)
(279996.5, -74.01, -0.38)
(280020.5, -74.01, -0.38)
(280044.5, -74.02, -0.38)
(280068.5, -74.02, -0.38)
(280092.5, -74.01, -0.38)
(280116.5, -74.01, -0.38)
(280140.5, -74.01, -0.38)
(280164.5, -74.01, -0.38)
(280188.5, -74.02, -0.38)
(280212.5, -74.02, -0.38)
(280236.5, -74.02, -0.38)
(280260.5, -74.02, -0.38)
(280284.5, -74.02, -0.38)
(280308.5, -74.02, -0.38)
(280332.5, -74.01, -0.38)
(280356.5, -74.02, -0.38)
(280380.5, -74.01, -0.38)
(280404.5, -74.01, -0.38)
(280428.5, -74.01, -0.38)
(280452.5, -74.01, -0.38)
(280476.5, -74.01, -0.38)
(280500.5, -74.01, -0.38)
(280524.5, -74.01, -0.38)
(280548.5, -74.01, -0.38)
(280572.5, -74.01, -0.38)
(280596.5, -74.01, -0.38)
(280612.5, -74.01, -0.38)
(280636.5, -74.01, -0.38)
(280660.5, -74.01, -0.38)
(280684.5, -74.01, -0.38)
(280700.5, -74.01, -0.38)
(280724.5, -74.01, -0.38)
(280748.5, -74.01, -0.38)
(280772.5, -74.01, -0.38)
(280788.5, -74.01, -0.38)
(280812.5, -74.01, -0.38)
(280836.5, -74.01, -0.38)
(280852.5, -74.01, -0.37)
(280876.5, -74.01, -0.38)
(280900.5, -74.01, -0.37)
